0	-96.1342	4.44552	
0.05	-96.1342	12.1295	
0.1	-54.7326	16.9742	
0.15	-34.455	4.41461	
0.2	-23.3547	3.31205	
0.25	-15.1279	2.37584	
0.3	-9.23353	1.68156	
0.35	-5.14941	1.12963	
0.4	-2.47294	0.669563	
0.45	-1.29265	0.358102	
0.5	-1.17	0.34995	
0.55	-1.02794	0.331119	
0.6	-1.02794	0.331119	
0.65	-1.02794	0.331119	
0.7	-1.02618	0.33153	
0.75	-0.981765	0.349179	
0.8	-0.766471	0.358771	
0.85	-0.521471	0.33185	
0.9	-0.279706	0.367683	
0.95	-0.0244118	0.375305	
1	0.106765	0.366957	
1.05	0.269412	0.380355	
1.1	0.418824	0.681054	
1.15	2.04382	1.05167	
1.2	2.43706	0.997764	
1.25	5.50941	0.967401	
1.3	6.94882	1.62719	
1.35	8.60029	0.855166	
1.4	10.6556	0.650191	
1.45	12.3976	0.719179	
1.5	13.7262	0.879382	
1.55	14.815	0.856653	
1.6	15.3547	0.538168	
1.65	16.3015	0.470757	
1.7	17.0797	0.430769	
1.75	17.6679	0.389772	
1.8	18.1318	0.349297	
1.85	18.4497	0.332375	
1.9	18.6244	0.277158	
1.95	18.6485	0.240057	
2	18.6577	0.239007	
2.05	18.6646	0.236332	
2.1	18.6691	0.234179	
2.15	18.6777	0.227924	
2.2	18.6701	0.225396	
2.25	18.6779	0.224428	
2.3	18.6848	0.225399	
2.35	18.6645	0.282248	
2.4	18.4553	0.405224	
2.45	18.4033	0.427198	
2.5	18.3547	0.441627	
2.55	18.3403	0.443723	
2.6	18.342	0.43822	
2.65	18.3445	0.433144	
2.7	18.3469	0.427913	
2.75	18.3495	0.423328	
2.8	18.3523	0.418898	
2.85	18.3551	0.414378	
2.9	18.3569	0.409185	
2.95	18.3614	0.406408	
3	18.3669	0.404763	
3.05	18.3703	0.401372	
3.1	18.3757	0.40102	
3.15	18.3807	0.399822	
3.2	18.3703	0.389448	
3.25	18.3759	0.388186	
3.3	18.3826	0.388925	
3.35	18.3869	0.387171	
3.4	18.3928	0.387409	
3.45	18.3862	0.376271	
3.5	18.3947	0.379428	
3.55	18.4014	0.38111	
3.6	18.4066	0.381091	
3.65	18.3984	0.377732	
3.7	18.41	0.384655	
3.75	18.4206	0.390815	
3.8	18.4267	0.39356	
3.85	18.42	0.388356	
3.9	18.4309	0.395379	
3.95	18.4423	0.404304	
4	18.4558	0.415452	
4.05	18.4694	0.42723	
4.1	18.4782	0.443469	
4.15	18.4958	0.46182	
4.2	18.5128	0.481739	
4.25	18.5264	0.493671	
4.3	18.5173	0.492792	
4.35	18.5261	0.50038	
4.4	18.5368	0.513099	
4.45	18.5476	0.524483	
4.5	18.5419	0.519706	
4.55	18.5185	0.487685	
4.6	18.5028	0.458663	
4.65	18.5025	0.455576	
4.7	18.5036	0.454805	
4.75	18.4969	0.442357	
4.8	18.4783	0.411923	
4.85	18.4728	0.401563	
4.9	18.4613	0.381111	
4.95	18.4596	0.376578	
5	18.4505	0.361619	
5.05	18.4484	0.356725	
5.1	18.4462	0.351882	
5.15	18.4439	0.347091	
5.2	18.4415	0.342351	
5.25	18.4391	0.337661	
5.3	18.4366	0.333022	
5.35	18.4341	0.328433	
5.4	18.4315	0.323893	
5.45	18.4288	0.319403	
5.5	18.426	0.314962	
5.55	18.4232	0.310571	
5.6	18.4204	0.306228	
5.65	18.4174	0.301933	
5.7	18.4144	0.297687	
5.75	18.4114	0.293489	
5.8	18.4082	0.289338	
5.85	18.4051	0.285235	
5.9	18.4018	0.281179	
5.95	18.3985	0.27717	
6	18.3951	0.273208	
6.05	18.3917	0.269292	
6.1	18.3882	0.265423	
6.15	18.3847	0.2616	
6.2	18.3811	0.257823	
6.25	18.3774	0.254091	
6.3	18.3737	0.250405	
6.35	18.3699	0.246763	
6.4	18.366	0.243167	
6.45	18.3621	0.239616	
6.5	18.3582	0.23611	
6.55	18.3541	0.232648	
6.6	18.3501	0.22923	
6.65	18.3459	0.225856	
6.7	18.3417	0.222526	
6.75	18.3375	0.21924	
6.8	18.3332	0.215997	
6.85	18.3288	0.212798	
6.9	18.3244	0.209642	
6.95	18.3199	0.206529	
7	18.3154	0.203459	
7.05	18.3108	0.200432	
7.1	18.3062	0.197447	
7.15	18.3015	0.194505	
7.2	18.2967	0.191605	
7.25	18.2919	0.188747	
7.3	18.2871	0.185931	
7.35	18.2822	0.183157	
7.4	18.2772	0.180425	
7.45	18.2722	0.177735	
7.5	18.2671	0.175086	
7.55	18.262	0.172479	
7.6	18.2568	0.169913	
7.65	18.2516	0.167388	
7.7	18.2463	0.164905	
7.75	18.241	0.162462	
7.8	18.2356	0.16006	
7.85	18.2302	0.157699	
7.9	18.2247	0.155379	
7.95	18.2192	0.153099	
8	18.2136	0.15086	
8.05	18.208	0.148662	
8.1	18.2023	0.146503	
8.15	18.1965	0.144385	
8.2	18.1908	0.142307	
8.25	18.1849	0.14027	
8.3	18.1791	0.138272	
8.35	18.1731	0.136314	
8.4	18.1672	0.134395	
8.45	18.1611	0.132517	
8.5	18.1551	0.130678	
8.55	18.1489	0.128878	
8.6	18.1428	0.127118	
8.65	18.1366	0.125397	
8.7	18.1303	0.123715	
8.75	18.124	0.122072	
8.8	18.1177	0.120468	
8.85	18.1113	0.118903	
8.9	18.1048	0.117376	
8.95	18.0983	0.115888	
9	18.0918	0.114438	
9.05	18.0852	0.113026	
9.1	18.0786	0.111652	
9.15	18.0719	0.110315	
9.2	18.0652	0.109016	
9.25	18.0584	0.107754	
9.3	18.0516	0.106529	
